1*16,8959
3019951,72*18,6445
3090295,433*18,5645
3162277,66*18,4823
3235936,569*18,3978
3311311,215*18,3111
3388441,561*18,2221
3467368,505*18,1308
3548133,892*18,0372
3630780,548*17,9413
3715352,291*17,8431
3801893,963*17,7425
3890451,45*17,6397
3981071,706*17,5346
4073802,778*17,4271
4168693,835*17,3173
4265795,188*17,2053
4365158,322*17,091
4466835,922*16,9744
4570881,896*16,8555
4677351,413*16,7345
4786300,923*16,6112
4897788,194*16,4857
5011872,336*16,3581
5128613,84*16,2284
5248074,602*16,0965
5370317,964*15,9625
5495408,739*15,8265
5623413,252*15,6885
5754399,373*15,5485
5888436,554*15,4066
6025595,861*15,2627
6165950,019*15,117
6309573,445*14,9694
6456542,29*14,82
6606934,48*14,6689
6760829,754*14,516
6918309,709*14,3615
7079457,844*14,2053
7244359,601*14,0475
7413102,413*13,8881
7585775,75*13,7272
7762471,166*13,5648
7943282,347*13,401
8128305,162*13,2357
8317637,711*13,0691
8511380,382*12,9012
8709635,9*12,732
8912509,381*12,5615
9120108,394*12,3898
9332543,008*12,2169
9549925,86*12,0429
9772372,21*11,8678
10000000*11,6916
